Topic 1 words,Topic 1 weights,Topic 1 words,Topic 1 weights
room,28610.4,room,3431.2
staff,11882.9,staff,760.4
location,8164.4,service,727.6
service,6644.9,food,508.5
restaurant,6400.0,place,482.1
breakfast,6226.9,people,414.6
food,5867.2,stay,406.0
place,5854.7,resort,367.3
stay,4963.3,desk,358.0
beach,4934.7,problem,357.5
area,4882.7,bathroom,331.4
resort,4659.6,water,320.8
pool,4614.3,breakfast,309.6
bar,4461.1,floor,307.6
view,4131.6,bed,294.9
people,4058.7,experience,294.8
trip,3746.4,hour,289.5
bathroom,3583.3,restaurant,275.5
floor,3377.4,beach,272.4
minute,3357.0,day,266.2
